"live_url","new_path","type","title","has_description","blocks"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%9e%d7%a1%d7%a2%d7%93%d7%95%d7%aa/","/ייעוץ-עסקי-למסעדות/","page","ייעוץ עסקי למסעדות | איך בונים עסק בתחום ב 2026","yes","19"
"https://elad-digital.co.il/%d7%a1%d7%95%d7%9b%d7%a0%d7%99-ai/","/סוכני-ai/","page","סוכני AI : הכל על סוכני בינה מלאכותית מאת אלעד שורתי","yes","43"
"https://elad-digital.co.il/%d7%91%d7%a0%d7%99%d7%99%d7%aa-%d7%aa%d7%9b%d7%a0%d7%99%d7%aa-%d7%a2%d7%a1%d7%a7%d7%99%d7%aa/","/בניית-תכנית-עסקית/","page","בניית תכנית עסקית | איך לבנות תכנית עסקית מנצחת ב 2026","yes","22"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%99%d7%95%d7%a2%d7%a6%d7%99-%d7%9e%d7%a9%d7%9b%d7%a0%d7%aa%d7%90%d7%95%d7%aa/","/ייעוץ-עסקי-ליועצי-משכנתאות/","page","ייעוץ עסקי ליועצי משכנתאות | איך בונים עסק בתחום הזה ב 2026","yes","18"
"https://elad-digital.co.il/%d7%9c%d7%99%d7%93%d7%99%d7%9d-%d7%9c%d7%a2%d7%a1%d7%a7/","/לידים-לעסק/","page","לידים לעסק ב 2026 - איך להביא לידים לעסק?","yes","25"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%97%d7%91%d7%a8%d7%aa-%d7%a0%d7%99%d7%a7%d7%99%d7%95%d7%9f/","/ייעוץ-עסקי-לחברת-ניקיון/","page","ייעוץ עסקי לחברת ניקיון | דיגיטל, שיווק ותהליכים","yes","20"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%a7%d7%91%d7%9c%d7%9f-%d7%a9%d7%99%d7%a4%d7%95%d7%a6%d7%99%d7%9d/","/ייעוץ-עסקי-לקבלן-שיפוצים/","page","ייעוץ עסקי לקבלן שיפוצים | אלעד שורתי – דיגיטל, שיווק ותהליכים","yes","22"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%97%d7%a0%d7%95%d7%99%d7%95%d7%aa-%d7%91%d7%92%d7%93%d7%99%d7%9d/","/ייעוץ-עסקי-לחנויות-בגדים/","page","ייעוץ עסקי לחנויות בגדים | אלעד שורתי – דיגיטל, שיווק ותהליכים","yes","22"
"https://elad-digital.co.il/%d7%a9%d7%99%d7%95%d7%95%d7%a7-%d7%9e%d7%9e%d7%95%d7%9e%d7%9f-%d7%91%d7%a4%d7%99%d7%99%d7%a1%d7%91%d7%95%d7%a7/","/שיווק-ממומן-בפייסבוק/","page","שיווק ממומן בפייסבוק 2026: אסטרטגיות AI וקריאייטיב מנצח","yes","19"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%a2%d7%95%d7%a8%d7%9b%d7%99-%d7%93%d7%99%d7%9f/","/ייעוץ-עסקי-לעורכי-דין/","page","ייעוץ עסקי לעורכי דין | להגדיל הכנסות מהמשרד ללא שעות נוספות?","yes","29"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%a4%d7%aa%d7%99%d7%97%d7%aa-%d7%a2%d7%a1%d7%a7/","/ייעוץ-עסקי-לפתיחת-עסק/","page","ייעוץ עסקי למכללות - ייעוץ וליווי עסקי למכללות עם אלע שורתי","yes","26"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%9c%d7%a2%d7%a1%d7%a7%d7%99%d7%9d-%d7%a7%d7%98%d7%a0%d7%99%d7%9d/","/ייעוץ-לעסקים-קטנים/","page","ייעוץ עסקי לעסקים קטנים | בניית אסטרטגיה לעסקים קטנים | אלעד שורתי","yes","17"
"https://elad-digital.co.il/%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a2%d7%a1%d7%a7%d7%99-%d7%9c%d7%9e%d7%9b%d7%9c%d7%9c%d7%95%d7%aa/","/ייעוץ-עסקי-למכללות/","page","ייעוץ עסקי למכללות - ייעוץ וליווי עסקי למכללות עם אלע שורתי","yes","21"
"https://elad-digital.co.il/%d7%a4%d7%a8%d7%95%d7%99%d7%99%d7%a7%d7%98%d7%99%d7%9d/","/פרוייקטים/","page","פרוייקטים - אלעד- יועץ ופיתוח עסקי","yes","9"
